T[keV],spectrum
0.0,1122690.0
0.005,758597.0
0.01,608865.0
0.015000000000000001,511768.0
0.02,441367.0
0.025,386992.0
0.030000000000000002,343210.0
0.034999999999999996,306894.0
0.04,276285.0
0.045000000000000005,250181.0
0.05,227690.0
0.055,208122.0
0.060000000000000005,190952.0
0.06499999999999999,175769.0
0.06999999999999999,162259.0
0.075,150178.0
0.08,139310.0
0.085,129481.0
0.09000000000000001,120553.0
0.095,112411.0
0.1,104959.0
0.10500000000000001,98121.9
0.11,91832.6
0.115,86033.6
0.12000000000000001,80672.6
0.125,75715.1
0.12999999999999998,71124.9
0.135,66861.1
0.13999999999999999,62895.0
0.145,59211.7
0.15,55772.1
0.155,52569.5
0.16,49585.6
0.165,46792.4
0.17,44186.7
0.175,41750.4
0.18000000000000002,39469.8
0.185,37335.7
0.19,35335.3
0.195,33459.3
0.2,31697.9
0.205,30043.0
0.21000000000000002,28486.4
0.215,27022.1
0.22,25642.7
0.225,24343.2
0.23,23118.1
0.235,21963.1
0.24000000000000002,20873.9
0.245,19846.5
0.25,18876.8
0.255,17961.3
0.25999999999999995,17096.5
0.265,16279.1
0.27,15505.8
0.275,14773.5
0.27999999999999997,14080.7
0.285,13425.3
0.29,12801.9
0.29500000000000004,12211.8
0.3,11652.0
0.305,11120.6
0.31,10616.1
0.315,10136.9
0.32,9681.57
0.325,9248.61
0.33,8836.68
0.335,8444.54
0.34,8070.83
0.345,7714.64
0.35,7374.93
0.355,7050.81
0.36000000000000004,6741.5
0.365,6446.25
0.37,6164.42
0.375,5895.37
0.38,5638.52
0.38499999999999995,5393.32
0.39,5159.2
0.395,4935.63
0.4,4722.12
0.40499999999999997,4518.27
0.41,4323.48
0.415,4137.5
0.42000000000000004,3959.8
0.425,3790.14
0.43,3628.04
0.435,3473.15
0.44,3325.22
0.44499999999999995,3183.9
0.45,3048.84
0.455,2919.75
0.46,2796.31
0.465,2678.19
0.47,2565.21
0.475,2457.09
0.48000000000000004,2353.58
0.48500000000000004,2254.51
0.49,2159.6
0.495,2068.76
0.5,1981.73
0.505,1898.37
0.51,1818.52
0.515,1741.98
0.5199999999999999,1668.81
0.525,1598.43
0.53,1531.07
0.535,1466.55
0.54,1404.69
0.545,1345.37
0.55,1288.51
0.555,1234.04
0.5599999999999999,1181.79
0.565,1131.7
0.57,1083.67
0.575,1037.63
0.58,993.454
0.585,951.101
0.5900000000000001,910.47
0.5950000000000001,871.499
0.6,834.106
0.605,798.243
0.61,763.849
0.615,730.841
0.62,699.192
0.625,668.814
0.63,639.682
0.635,611.717
0.64,584.9
0.6449999999999999,559.159
0.65,534.454
0.655,510.765
0.66,488.031
0.665,466.227
0.67,445.314
0.675,425.256
0.68,406.017
0.6849999999999999,387.571
0.69,369.891
0.695,352.942
0.7,336.701
0.705,321.146
0.71,306.24
0.7150000000000001,291.966
0.7200000000000001,278.301
0.725,265.217
0.73,252.699
0.735,240.721
0.74,229.262
0.745,218.303
0.75,207.832
0.755,197.822
0.76,188.263
0.7649999999999999,179.133
0.7699999999999999,170.424
0.775,162.106
0.78,154.173
0.785,146.609
0.79,139.397
0.795,132.523
0.8,125.977
0.805,119.734
0.8099999999999999,113.79
0.815,108.131
0.82,102.74
0.825,97.6048
0.83,92.7108
0.8350000000000001,88.0481
0.8400000000000001,83.6062
0.8450000000000001,79.3763
0.85,75.3472
0.855,71.51
0.86,67.8586
0.865,64.3932
0.87,61.0869
0.875,57.9333
0.88,54.9399
0.885,52.092
0.8899999999999999,49.3841
0.895,46.8049
0.9,44.3576
0.905,42.0357
0.91,39.8119
0.915,37.707
0.92,35.708
0.925,33.8089
0.93,32.0065
0.9349999999999999,30.2967
0.94,28.676
0.945,27.1406
0.95,25.6863
0.955,24.3098
0.9600000000000001,23.0082
0.9650000000000001,21.7784
0.9700000000000001,20.6167
0.975,19.5201
0.98,18.4857
0.985,17.5105
0.99,16.592
0.995,15.7275
1.0,14.9145
1.0050000000000001,14.1501
1.01,13.4326
1.0150000000000001,12.7591
1.02,12.1275
1.0250000000000001,11.5353
1.03,10.9808
1.035,10.4609
1.0399999999999998,9.9737
1.045,9.51722
1.05,9.08871
1.055,8.68608
1.06,8.30695
1.065,7.94975
1.07,7.61162
1.075,7.29107
1.08,6.98618
1.085,6.69563
1.09,6.41845
1.095,6.1535
1.1,5.90005
1.105,5.65742
1.11,5.42521
1.1150000000000002,5.20289
1.1199999999999999,4.9902
1.125,4.78661
1.13,4.59175
1.135,4.40521
1.14,4.22662
1.145,4.05562
1.15,3.89175
1.155,3.73471
1.16,3.58411
1.165,3.43962
1.17,3.30076
1.175,3.1674
1.1800000000000002,3.03913
1.185,2.91567
1.1900000000000002,2.79662
1.195,2.68231
1.2,2.57198
1.2049999999999998,2.46572
1.21,2.36328
1.2149999999999999,2.26462
1.22,2.16955
1.2249999999999999,2.078
1.23,1.98984
1.2349999999999999,1.90501
1.24,1.82341
1.245,1.74489
1.25,1.6694
